Event,Data_Source,Depth [m],Latitude,Longitude,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
OD-041-04,forcens_lgm,0.14,84.0292,11.2383,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0
OD-041-04,forcens_lgm,0.15,84.0292,11.2383,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.991,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
PS2446-4,forcens_lgm,3.1,82.3967,40.9083,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2446-4,forcens_lgm,3.3,82.3967,40.9083,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2446-4,forcens_lgm,3.5,82.3967,40.9083,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS1533-3,forcens_lgm,0.73,82.0317,15.1908,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.954,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0
PS1533-3,forcens_lgm,0.79,82.0317,15.1908,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.963,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2876-1,forcens_lgm,0.17,81.759,-9.4355,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
PS2876-1,forcens_lgm,0.27,81.759,-9.4355,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0
PS2876-1,forcens_lgm,0.61,81.759,-9.4355,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2876-1,forcens_lgm,0.83,81.759,-9.4355,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
PS2138-1,forcens_lgm,1.72,81.535,30.5933,0,0,0,0,0,0.003,0,0,0,0,0,0,0.028,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2138-1,forcens_lgm,1.92,81.535,30.5933,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
PS2138-1,forcens_lgm,2.13,81.535,30.5933,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0
PS2138-1,forcens_lgm,2.23,81.535,30.5933,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2129-1,forcens_lgm,0.3,81.3667,17.4717,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
PS2129-1,forcens_lgm,0.4,81.3667,17.4717,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.969,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0
PS2837-5,forcens_lgm,3.89,81.2333,2.3817,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0
PS2837-5,forcens_lgm,3.95,81.2333,2.3817,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
PS2837-5,forcens_lgm,3.97,81.2333,2.3817,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS2887-1,forcens_lgm,0.5,79.6,-4.6077,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0
