Event,Data_Source,Depth [m],Latitude,Longitude,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
V26-041,forcens_lgm,42,19.319,-26.102,0,0,1,0,2,2,7,0,0,0,40,12,107,5,0,0,0,0,21,33,1,7,48,44,5,17,2,7,12,0,0,0,5,0,0,35,0,0,1,0,0
V26-046,forcens_lgm,45,9.552,-18.169,0,0,5,0,0,4,0,0,0,0,55,24,56,1,0,0,0,0,8,6,0,16,44,24,1,4,0,2,2,0,0,0,3,0,0,6,0,0,0,0,0
V26-046,forcens_lgm,45,9.552,-18.169,0,0,15,0,0,3,0,0,0,0,68,64,69,0,0,0,0,0,11,7,0,29,46,51,0,9,3,4,6,0,1,0,7,0,0,7,0,0,0,0,0
V26-104,forcens_lgm,150,-0.083,-41.783,0,0,0,0,3,0,47,0,0,0,3,56,10,0,0,0,0,0,2,3,10,5,175,98,1,0,0,6,1,0,0,3,13,0,0,86,0,0,0,0,0
V26-104,forcens_lgm,155,-0.083,-41.783,0,0,0,0,0,1,32,0,0,0,3,33,0,0,0,0,0,0,0,3,2,0,139,66,0,1,0,3,0,0,0,2,3,0,0,39,0,0,0,0,0
V26-107,forcens_lgm,100,4.683,-46.867,0,0,0,0,0,2,31,0,0,0,0,16,12,0,49,0,0,0,2,0,4,2,139,66,2,0,0,15,2,0,0,0,20,0,0,43,0,0,0,0,0
V27-017,forcens_lgm,35,50.085,-37.3,0,0,0,0,0,0,0,0,0,0,1,0,3,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27-019,forcens_lgm,35,52.085,-38.8,0,0,0,0,0,0,1,0,0,0,2,0,16,280,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0
V27-020,forcens_lgm,80,54,-46.2,0,0,0,1,0,0,0,0,0,0,3,0,26,291,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0
V27-110,forcens_lgm,47,56.885,-18.485,0,0,0,0,0,1,0,0,0,0,4,0,14,349,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,13,0,0,0,0,0
V27-116,forcens_lgm,60,52.834,-30.334,0,0,0,0,0,0,0,0,0,0,1,0,10,340,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0
V27-137,forcens_lgm,40,42.685,-17.067,0,0,0,1,0,0,0,0,0,0,31,0,27,277,0,0,0,0,42,2,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
V27-175,forcens_lgm,50,8.801,-22.103,0,0,25,0,7,1,9,2,0,0,22,97,16,0,3,0,0,0,0,0,5,6,26,75,0,2,0,2,6,0,0,0,0,0,1,1,0,0,0,0,0
V27-178,forcens_lgm,58,5.1,-26.65,0,0,7,0,0,1,6,0,0,0,6,52,11,4,0,0,0,0,6,0,4,1,88,117,0,1,1,4,3,0,0,0,0,0,0,3,0,0,0,0,0
V27-178,forcens_lgm,55,5.1,-26.65,0,0,12,0,0,0,9,0,0,0,4,105,25,0,0,0,0,0,15,1,14,1,80,137,1,5,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0
V27-248,forcens_lgm,82,3.05,-11.803,0,0,20,0,0,0,0,0,0,0,11,26,28,0,0,0,0,0,0,0,2,15,31,29,1,4,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0
V27-263,forcens_lgm,20,35.017,-40.917,0,0,2,0,0,25,4,0,0,0,69,1,57,2,0,0,0,0,45,44,1,1,41,1,0,5,0,6,1,0,3,0,1,0,0,38,0,0,2,0,0
V28-089,forcens_lgm,72,44.533,-32.583,0,0,0,0,0,4,0,0,0,0,11,1,24,384,0,0,0,0,24,3,0,1,5,0,0,0,0,1,0,0,26,0,0,0,0,9,0,0,0,0,0
V28-119,forcens_lgm,80,17.033,-76.6,0,0,7,0,0,2,13,1,0,0,11,10,1,1,0,0,0,0,2,1,10,28,161,22,11,5,1,32,0,0,0,0,6,0,0,46,0,0,0,0,0
V28-122,forcens_lgm,100,11.933,-78.683,0,0,2,0,0,0,11,0,0,0,12,8,0,1,0,0,0,0,3,0,6,27,156,16,12,8,1,13,0,0,0,0,3,0,0,15,0,0,0,0,0
V28-129,forcens_lgm,80,11.117,-80.4,0,0,2,0,0,0,16,0,0,0,5,23,1,0,0,0,0,0,1,1,8,29,110,23,15,17,0,23,0,0,0,0,0,0,0,33,0,0,0,0,0
V29-172,forcens_lgm,40,33.7,-29.383,0,0,2,0,0,41,7,0,0,0,70,1,37,0,0,0,0,0,2,7,0,0,39,2,4,1,0,4,0,0,1,0,5,0,0,21,0,0,0,0,0
V29-173,forcens_lgm,25,33.7,-29.383,0,0,1,0,0,20,13,0,0,0,74,2,42,2,0,0,0,0,14,61,0,0,29,1,1,6,0,7,5,0,3,3,3,0,0,24,0,0,0,0,0
V29-174,forcens_lgm,40,36.286,-29.352,0,0,0,0,0,53,4,0,0,0,80,4,53,1,0,0,0,0,46,70,0,0,44,0,0,1,1,5,2,0,4,0,0,0,0,43,0,0,0,0,0
V29-177,forcens_lgm,42,41.534,-25.701,0,0,0,0,0,33,1,0,0,0,73,2,121,28,0,0,0,0,111,3,0,15,0,0,1,1,0,0,1,0,50,0,0,0,0,64,0,0,0,0,0
V29-178,forcens_lgm,49,42.836,-25.15,0,0,0,0,0,25,0,0,0,0,33,2,69,92,0,0,0,0,75,2,0,0,4,0,0,0,0,0,0,0,56,0,0,0,0,30,0,0,0,0,0
V29-180,forcens_lgm,58,45.301,-23.868,0,0,0,0,0,14,0,0,0,0,13,0,45,285,0,0,0,0,73,2,0,0,5,0,0,0,0,0,0,0,74,0,0,0,0,28,0,0,0,0,0
V30-096,forcens_lgm,63,39.933,-33.133,0,0,0,0,0,10,2,0,0,0,58,3,78,22,0,0,0,0,84,3,0,1,18,0,0,2,0,1,1,0,22,0,0,0,0,47,0,0,0,0,0
V30-099,forcens_lgm,32,43.15,-32.45,0,0,0,1,0,43,0,0,0,0,48,7,94,75,0,0,0,0,162,11,0,2,11,0,0,0,0,1,1,0,64,0,0,0,0,67,0,0,0,0,0
V30-100,forcens_lgm,65,44.1,-32.5,0,0,0,0,0,16,0,0,0,0,18,1,47,142,0,0,0,0,83,3,0,0,1,0,0,1,0,0,0,0,48,0,0,0,0,28,0,0,0,0,0
RC08-145,forcens_lgm,35,33.569,-62.383,1,0,0,3,0,19,9,0,0,0,61,4,63,2,1,0,0,0,81,8,0,5,56,4,7,2,1,5,4,0,4,0,1,0,0,36,0,0,0,0,0
RC09-049,forcens_lgm,70,11.184,-58.585,0,0,6,0,2,5,12,0,0,0,1,15,2,8,0,0,0,0,18,6,7,38,144,79,2,1,3,21,4,0,0,0,15,0,0,48,0,0,0,0,0
RC09-049,forcens_lgm,85,11.184,-58.585,0,0,3,0,0,8,5,0,0,0,0,15,1,7,0,0,0,3,17,2,10,39,91,36,2,0,0,0,6,0,6,0,10,0,0,35,0,0,0,0,0
RC09-225,forcens_lgm,135,54.968,-15.385,0,0,0,0,0,10,0,0,0,0,0,0,10,945,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0
RC10-050,forcens_lgm,100,11.767,-81.086,0,0,3,1,0,1,13,3,0,0,7,13,1,0,0,0,0,0,1,2,12,8,143,22,0,2,1,27,0,0,0,0,6,0,0,47,0,0,0,0,0
RC13-151,forcens_lgm,60,15.851,-74.784,0,0,5,1,1,0,13,1,0,0,17,32,2,0,1,0,0,0,6,2,7,25,147,25,3,2,0,11,0,0,0,0,5,0,1,37,0,0,0,0,0
RC13-152,forcens_lgm,60,16.701,-75.435,0,0,2,0,1,0,6,0,0,0,9,8,1,0,0,0,0,0,3,0,9,20,174,15,3,6,0,11,0,0,0,0,3,0,0,28,0,0,0,0,0
RC13-158,forcens_lgm,80,13.169,-79.818,0,0,1,0,0,0,9,0,0,0,5,19,4,0,1,0,0,0,5,2,3,26,135,12,12,9,0,15,0,0,0,0,6,0,1,39,0,0,0,0,0
RC13-159,forcens_lgm,83,14.685,-77.167,0,0,2,0,0,1,15,1,0,0,18,29,0,0,4,0,0,0,5,3,2,28,147,35,10,10,0,26,10,0,0,0,5,0,1,45,0,0,0,0,0
RE05-034,forcens_lgm,40,42.383,-21.967,0,0,0,0,0,30,1,0,0,0,51,1,133,42,0,0,0,0,102,10,0,0,10,0,0,2,0,0,1,0,32,0,0,0,0,36,0,0,0,0,0
RE05-036,forcens_lgm,70,46.917,-18.583,0,0,0,0,0,0,0,0,0,0,0,0,3,329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
RE05-054,forcens_lgm,10,25.868,-19.051,0,0,1,0,0,5,42,0,0,0,58,0,121,2,0,0,0,0,68,0,0,1,28,0,3,2,0,6,2,0,2,2,0,0,0,25,0,0,0,0,0
RE05-057,forcens_lgm,100,19.652,-19.1,0,0,0,0,0,3,0,0,0,0,47,10,130,6,0,0,0,0,176,0,1,1,13,5,2,5,0,5,0,0,9,0,3,0,0,27,0,0,0,0,0
RE10-002,forcens_lgm,60,56.984,-12.467,0,0,0,0,0,1,0,0,0,0,0,0,15,323,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SP08-004,forcens_lgm,30,32.818,-18.518,0,0,0,0,0,3,37,0,0,0,161,2,96,2,0,0,0,0,152,47,0,0,93,3,0,4,0,3,7,0,0,3,0,0,0,19,0,0,0,0,0
A180-74,forcens_lgm,50,-0.05,-24.167,0,0,5,0,1,4,32,1,0,0,32,39,93,1,1,0,0,0,18,7,0,8,42,18,1,0,0,3,1,0,1,0,0,0,0,43,0,0,0,0,0
A180-76,forcens_lgm,60,-0.767,-26.033,0,0,4,0,0,0,19,0,0,0,17,78,39,0,0,0,0,0,2,0,0,0,33,26,0,1,0,2,1,0,0,1,1,0,0,22,0,0,0,0,0
V15-157,forcens_lgm,50,-33.167,-49.783,0,0,0,10,2,8,43,1,0,0,88,23,36,1,4,0,0,0,31,10,9,19,91,10,1,3,1,1,2,0,1,0,2,0,0,46,0,0,0,0,0
V16-036,forcens_lgm,42,-19.368,-11.435,0,0,13,1,0,11,38,0,0,0,85,5,4,0,0,0,0,0,9,80,2,15,104,40,31,10,2,5,8,0,0,0,7,0,0,24,0,0,0,0,0
V18-110,forcens_lgm,30,-53.917,-44.7,0,0,0,0,0,1,0,0,0,0,3,0,1,285,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V19-240,forcens_lgm,60,-30.583,13.283,0,0,0,3,0,0,10,0,0,0,37,4,205,10,0,0,0,0,46,22,0,0,8,0,0,5,0,9,1,0,8,0,1,0,0,8,0,0,0,0,0
V19-248,forcens_lgm,27,-24.567,4.833,0,0,0,3,0,8,23,0,0,0,81,29,86,2,0,0,0,0,44,16,0,2,24,1,13,11,0,9,7,0,8,0,5,0,0,34,0,0,1,0,0
V19-281,forcens_lgm,50,-3.317,4.65,0,0,6,0,17,7,0,6,0,0,56,32,34,2,3,0,0,0,42,3,0,37,38,25,0,10,0,5,2,0,0,0,0,0,0,20,0,0,0,0,0
V19-283,forcens_lgm,79,-1.283,5.533,0,0,26,0,11,5,1,7,0,0,52,68,81,0,4,0,0,0,19,2,0,78,57,26,1,11,0,5,6,0,1,0,2,2,0,14,0,0,0,0,0
V20-212,forcens_lgm,20,-28.217,-10.033,0,0,1,9,1,17,32,0,0,0,59,0,13,3,0,0,0,0,7,44,2,13,62,4,13,9,3,6,5,0,0,0,8,0,0,37,0,0,1,0,0
V20-227,forcens_lgm,80,-4.233,-34.633,0,0,8,0,1,0,36,0,0,0,13,37,4,0,0,0,0,0,0,0,0,3,111,64,0,0,2,12,4,0,0,0,1,0,0,48,0,0,0,0,0
V20-228,forcens_lgm,61,-2.483,-36.417,0,0,7,0,3,1,1,0,0,0,0,44,6,0,2,0,0,0,1,6,0,60,178,94,5,1,0,13,2,0,0,0,3,0,1,30,0,0,0,0,0
V22-038,forcens_lgm,40,-9.55,-34.25,0,0,4,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,3,12,319,51,4,3,0,3,3,0,0,0,2,0,2,31,0,0,0,0,0
V22-038,forcens_lgm,37.5,-9.55,-34.25,0,0,1,0,1,1,11,1,0,0,0,5,1,0,0,0,0,0,3,0,5,15,239,48,0,2,0,3,6,0,0,0,0,0,5,10,0,0,0,0,0
V22-168,forcens_lgm,31,-17.467,-5.183,0,0,8,0,0,1,67,0,0,0,132,13,37,2,2,0,0,0,10,9,1,0,39,22,0,12,0,8,1,0,0,0,0,0,0,14,0,0,3,0,0
V22-171,forcens_lgm,20,-13.1,-9.333,0,0,9,0,1,6,14,0,0,0,30,10,23,0,0,0,0,0,6,49,2,8,96,17,5,2,1,9,9,0,0,0,6,0,1,51,0,0,1,0,0
V22-171,forcens_lgm,20,-13.1,-9.333,0,0,9,1,0,1,13,0,0,0,19,12,18,0,0,0,0,0,14,37,2,6,76,28,7,2,2,10,7,0,0,0,1,0,1,41,0,0,0,0,0
V22-172,forcens_lgm,20,-12.667,-9.817,0,0,26,1,1,6,35,0,0,0,74,37,35,0,2,0,0,0,14,87,8,16,170,60,15,3,3,14,14,0,2,1,4,0,1,63,0,0,1,0,0
V22-177,forcens_lgm,70,-7.75,-14.601,0,0,9,0,5,7,17,0,0,0,46,50,54,0,2,0,0,0,10,0,1,24,75,62,1,10,1,16,4,0,0,0,9,0,1,32,0,0,0,0,0
V22-177,forcens_lgm,63,-7.75,-14.601,0,0,22,0,2,4,18,0,0,0,54,35,28,0,0,0,0,0,23,9,0,16,42,43,0,5,0,5,9,0,0,0,11,0,0,46,0,0,0,0,0
V22-182,forcens_lgm,71,-0.535,-17.267,0,0,8,0,0,0,30,0,0,0,71,106,129,6,2,0,1,0,26,2,0,5,48,35,1,1,1,4,2,0,1,0,0,0,0,26,0,0,0,0,0
V22-182,forcens_lgm,72,-0.535,-17.267,0,0,16,0,0,0,19,0,0,0,32,86,62,4,0,0,0,0,22,2,0,6,38,14,1,2,0,0,3,0,0,0,0,0,0,33,0,0,0,0,0
V24-221,forcens_lgm,30,-32.033,-2.817,0,0,1,16,0,2,34,0,0,0,91,0,53,1,0,0,0,0,31,81,1,0,27,1,0,8,0,2,0,0,3,0,0,0,0,6,0,0,1,0,0
V24-229,forcens_lgm,30,-34.45,-10.6,0,0,1,12,0,2,28,0,0,0,57,0,93,0,0,0,0,0,59,52,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0
V24-235,forcens_lgm,10,-33.25,-19.55,0,0,0,10,0,12,41,0,0,0,60,0,50,1,0,0,0,0,19,91,1,0,50,1,2,1,1,2,2,0,0,0,1,0,0,5,0,0,0,0,0
V24-237,forcens_lgm,10,-32.2,-26.733,0,0,0,11,0,5,24,0,0,0,50,1,150,2,0,0,0,0,2,23,0,0,59,2,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
V24-240,forcens_lgm,20,-31.733,-28.2,0,0,0,12,0,0,30,0,0,0,53,0,177,3,0,0,0,0,7,13,4,0,59,3,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
V26-053,forcens_lgm,50,0.3,-14.8,0,0,46,0,1,2,8,0,0,0,3,325,14,0,0,0,0,0,1,0,0,0,5,31,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0
V26-063,forcens_lgm,30,-23.952,-37.951,0,0,0,3,0,4,15,0,0,0,34,3,0,0,0,0,0,0,11,9,1,8,210,15,11,0,2,2,2,0,0,0,4,0,0,69,0,0,0,0,0
V26-082,forcens_lgm,20,-27.751,-40.385,0,0,2,3,1,14,20,0,0,0,33,2,7,0,0,0,0,0,10,10,8,20,159,21,8,1,1,12,0,0,0,0,9,0,0,59,0,0,0,0,0
V27-228,forcens_lgm,90,-10.068,11.435,0,0,4,0,2,3,0,3,0,0,19,18,112,1,1,0,0,0,7,2,0,58,39,62,0,1,0,14,4,0,0,0,2,0,0,20,0,0,0,0,0
V27-232,forcens_lgm,60,-0.219,7.535,0,0,13,0,0,2,2,0,0,0,3,50,25,0,0,0,0,0,20,1,0,79,50,33,0,6,1,5,6,0,0,0,1,0,0,15,0,0,0,0,0
V27-239,forcens_lgm,20,-7.819,-1.502,0,0,20,0,2,1,1,0,0,0,76,100,68,0,2,0,0,0,20,2,0,2,16,28,0,14,1,3,2,0,0,0,1,0,0,7,0,0,0,0,0
RC08-018,forcens_lgm,20,-24.067,-15.117,0,0,2,5,1,6,13,0,0,0,44,1,2,5,0,0,0,0,10,19,3,11,125,30,25,4,4,18,3,0,0,0,18,0,1,46,0,0,0,0,0
RC11-021,forcens_lgm,30,-17.252,-35.967,0,0,2,0,1,4,3,0,0,0,5,0,0,0,0,0,0,0,3,3,2,1,255,15,7,4,0,5,3,0,0,0,4,0,6,54,0,0,0,0,0
RC11-026,forcens_lgm,30,-28.583,-30.051,0,0,5,7,0,5,40,0,0,0,41,0,13,1,0,0,0,0,14,21,9,8,166,9,6,6,1,16,6,0,0,0,8,0,1,20,0,0,0,0,0
RC11-086,forcens_lgm,45,-35.78,18.45,0,0,3,1,0,0,3,0,0,0,65,27,200,17,0,0,0,0,30,11,0,0,8,5,0,2,0,12,2,0,4,0,2,0,0,11,0,0,0,0,0
RC12-234,forcens_lgm,70,-55.135,-63.985,0,0,0,0,0,0,0,0,0,0,4,0,7,332,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RC12-241,forcens_lgm,70,-43.467,-57.651,0,0,0,0,0,1,17,0,0,0,84,0,31,81,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0
RC12-291,forcens_lgm,80,-42.584,-17.8,0,0,6,0,0,0,5,0,0,0,68,0,75,79,0,0,0,0,48,1,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,5,0,0,0,0,0
RC13-197,forcens_lgm,110,4.517,-0.718,0,0,22,0,4,1,6,0,0,0,8,46,100,1,1,0,0,0,51,0,0,85,59,34,0,1,0,3,5,0,0,0,7,0,0,6,0,0,0,0,0
RC13-205,forcens_lgm,50,-2.284,5.183,0,0,15,0,7,4,0,3,0,0,26,49,79,1,1,0,0,0,10,9,0,26,30,29,3,9,0,1,2,0,0,0,5,0,0,28,0,0,0,0,0
RC13-210,forcens_lgm,40,-9.135,-10.601,0,0,19,0,1,3,11,1,0,0,45,40,39,0,0,0,0,0,12,8,3,19,69,55,1,7,0,6,4,0,0,0,2,0,0,26,0,0,0,0,0
RC13-227,forcens_lgm,40,-21.869,8.868,0,0,1,1,0,1,1,0,0,0,54,6,196,35,0,0,0,0,44,4,0,0,10,2,0,3,3,1,0,0,2,0,0,0,0,2,0,0,0,0,0
RC15-093,forcens_lgm,102,-46.086,-13.218,0,0,1,0,0,1,4,0,0,0,18,0,9,166,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,7,0,0,0,0,0
RC15-094,forcens_lgm,120,-42.969,-20.851,0,0,0,0,0,0,6,0,0,0,107,0,94,209,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0
RC14-039,forcens_lgm,70,5.85,90.517,0,0,2,0,48,1,0,7,0,0,0,95,0,0,47,13,11,0,48,6,7,0,75,29,2,2,4,16,5,0,0,0,7,0,0,58,0,0,1,0,0
RC8-94,forcens_lgm,16,-27.283,-102.083,1,0,62,0,4,0,162,2,0,0,20,0,0,0,0,3,12,0,61,90,300,0,640,19,130,23,8,18,38,0,0,0,15,0,2,303,0,0,12,0,0
RC9-124,forcens_lgm,40,-28.75,172.6,0,0,82,12,0,1,35,0,0,0,186,14,130,0,1,0,0,0,132,230,37,0,110,15,11,6,2,36,10,0,5,0,0,0,0,50,0,0,1,0,0
