Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
K708-4,forcens_lgm,58,49.984,-25.018,415,8,0,0,2,0,0,0
K708-6,forcens_lgm,60,51.552,-29.567,935,65,0,0,0,0,0,0
K708-7,forcens_lgm,53,53.933,-24.083,244,9,0,0,6,0,0,0
K708-8,forcens_lgm,83,52.736,-22.55,588,25,0,0,19,0,0,0
K714-3,forcens_lgm,82,57.486,-27.519,457,35,0,0,5,0,0,0
KC24-19,forcens_lgm,,42.14966667,-10.48766667,1829,925,0,3,907,0,167,2
KET8003,forcens_lgm,,38.49,14.3,1474,1396,0,9,768,0,33,0
KET8019,forcens_lgm,,40.33,13.21,991,617,0,4,376,0,290,0
KET8022,forcens_lgm,,40.35,11.43,86,110,0,0,73,0,0,0
KET8039,forcens_lgm,,36.32,11.41,2096,1676,0,11,764,0,1347,0
KET8216,forcens_lgm,,41.31,17.59,390,399,0,2,76,0,2,0
KL96,forcens_lgm,,32.77,19.19,145,36,0,5,5,0,327,0
LC01,forcens_lgm,,40.26,6.887,415,1022,0,1,171,0,159,0
LC04,forcens_lgm,,38.65,6.11,336,379,0,5,166,0,137,0
LC07,forcens_lgm,,38.14,10.07,119,254,0,1,88,0,23,0
LC21,forcens_lgm,,35.66,26.58,633,239,0,22,267,0,315,0
LV29-114-3,forcens_lgm,4.05,49.375667,152.877933,173,32,0,0,1,0,0,0
M12392,forcens_lgm,172.5,25.167,-16.85,417,365,0,5,220,0,29,1
MD 95-2043,forcens_lgm,,36.143,-2.621,2127,601,0,0,144,0,52,0
MD01-2390,forcens_lgm,,6.6353,113.409,300,86,0,31,826,0,870,0
MD01-2398,forcens_lgm,,23.9918,124.413,141,247,1,85,510,0,661,1
MD01-2409,forcens_lgm,,41.5608,141.868,582590,163300,450,0,42420,0,380,0
MD02-2520,forcens_lgm,,15.669,-95.3,86,590,9,31,1025,0,368,0
MD02-2523,forcens_lgm,,15.429,-94.2388,14,179,5,14,900,0,188,0
MD03-2607,forcens_lgm,,-36.9607,137.4065,510,792,0,40,419,0,253,0
MD04-2797CQ,forcens_lgm,,36.95,11.67,1905,2033,0,36,1004,0,713,0
MD04-2805,forcens_lgm,,34.5165,-7.0165,1598,1383,0,41,734,0,484,0
MD04-2861,forcens_lgm,,24.13,63.91,246,926,0,117,113,0,2367,1
MD06-2986,forcens_lgm,1.98,-43.4985,167.9,157,195,0,0,102,0,1,0
MD06-2986,forcens_lgm,2.3,-43.4985,167.9,109,181,0,0,67,0,0,0
MD84-632,forcens_lgm,,32.47,34.23,4644,768,0,150,630,0,15287,0
MD84627,forcens_lgm,,32.14,33.45,369,26,0,1,29,0,797,0
MD84629,forcens_lgm,,32.04,34.21,684,827,0,40,56,0,51,0
MD84641,forcens_lgm,,33.02,32.38,583,117,0,8,44,0,8,0
MD88-770,forcens_lgm,1.12,-46.01666667,96.46666667,209,7,0,0,1,0,0,0
MD90-917,forcens_lgm,,41.298,17.613,2777,2439,0,8,632,0,294,1
MD90901,forcens_lgm,,39.947,1.591,1290,2995,0,2,578,0,664,0
MD95-2010,forcens_lgm,3.1,66.6842,4.5662,296,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.12,66.6842,4.5662,216,7,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.17,66.6842,4.5662,237,6,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.2,66.6842,4.5662,327,1,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.3,66.6842,4.5662,294,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.33,66.6842,4.5662,192,14,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.37,66.6842,4.5662,202,11,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.4,66.6842,4.5662,303,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.43,66.6842,4.5662,200,9,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.47,66.6842,4.5662,201,7,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.5,66.6842,4.5662,299,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.52,66.6842,4.5662,212,10,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.54,66.6842,4.5662,195,9,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.56,66.6842,4.5662,235,11,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.6,66.6842,4.5662,292,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.62,66.6842,4.5662,199,15,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.66,66.6842,4.5662,204,9,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.68,66.6842,4.5662,202,8,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.7,66.6842,4.5662,316,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.72,66.6842,4.5662,214,10,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.76,66.6842,4.5662,196,13,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.8,66.6842,4.5662,295,4,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.83,66.6842,4.5662,236,13,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.85,66.6842,4.5662,199,6,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.88,66.6842,4.5662,213,8,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.9,66.6842,4.5662,307,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.93,66.6842,4.5662,230,12,0,0,0,0,0,0
MD95-2010,forcens_lgm,3.96,66.6842,4.5662,323,19,0,0,0,0,0,0
MD95-2010,forcens_lgm,4,66.6842,4.5662,289,1,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.04,66.6842,4.5662,217,6,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.1,66.6842,4.5662,298,1,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.13,66.6842,4.5662,239,7,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.16,66.6842,4.5662,203,12,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.2,66.6842,4.5662,305,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.27,66.6842,4.5662,209,4,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.3,66.6842,4.5662,300,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.36,66.6842,4.5662,197,15,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.4,66.6842,4.5662,303,0,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.43,66.6842,4.5662,205,5,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.47,66.6842,4.5662,214,8,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.49,66.6842,4.5662,208,2,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.54,66.6842,4.5662,206,5,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.59,66.6842,4.5662,198,2,0,0,0,0,0,0
MD95-2010,forcens_lgm,4.6,66.6842,4.5662,305,0,0,0,0,0,0,0
MD95-2042,forcens_lgm,,37.799833,-10.1665,3864,2279,0,30,1914,0,817,0
MD96-2048,forcens_lgm,,-26.1667,34.0167,186,92,0,35,397,0,495,0
MD97-2138,forcens_lgm,,1.42,146.236,83,484,0,111,1197,0,968,4
MD98-2195,forcens_lgm,,31.64,128.94,6400,7383,0,414,9021,0,4791,0
MD98-2196,forcens_lgm,,29.88,128.61,148,430,1,52,645,2,520,10
MD99-2281,forcens_lgm,,60.341833,-9.455667,6920,1190,0,0,1036,0,0,0
MD99-2303,forcens_lgm,2.1,77.519667,8.399667,307,17,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.2,77.519667,8.399667,309,16,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.3,77.519667,8.399667,337,20,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.4,77.519667,8.399667,310,17,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.5,77.519667,8.399667,319,20,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.6,77.519667,8.399667,312,10,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.7,77.519667,8.399667,301,4,0,0,0,0,0,0
MD99-2303,forcens_lgm,2.8,77.519667,8.399667,289,13,0,0,0,0,0,0
MD99-2331,forcens_lgm,,42.15,-9.68333,4178,2552,0,1,1912,0,364,0
MD992344,forcens_lgm,,41.997,4.836,183,1210,0,0,103,0,16,0
MD992346,forcens_lgm,,42.044,4.151,1004,3431,0,2,653,0,81,0
ME0005A-3JC,forcens_lgm,,15.65666667,-95.2805,209,490,28,35,1875,0,190,2
NS07-25,forcens_lgm,,6.66575,113.5489333,304,177,0,29,2986,0,2946,22
ODP 658C,forcens_lgm,,20.7492,-18.5808,785,995,0,7,277,0,51,0
ODP 969,forcens_lgm,,33.839,24.884,692,261,0,2,206,0,508,0
ODP 973,forcens_lgm,,35.78,18.948,292,124,0,5,110,0,124,0
ODP 975,forcens_lgm,,38.89,4.5,735,1472,0,0,430,0,83,0
ODP 977,forcens_lgm,,36.0317,-1.95528,1914,258,0,4,61,0,20,0
ODP122-760A,forcens_lgm,0.39,-16.922,115.5413333,27,2,0,7,136,0,154,0
ODP122-762B,forcens_lgm,0.8,-19.88733333,112.254,19,7,0,6,115,0,116,3
OMEXII-9K,forcens_lgm,,42.33233333,-9.698666667,3860,2721,0,2,1369,0,336,0
P69,forcens_lgm,3.9,-40.39666667,177.9966667,154,68,0,0,90,0,7,0
PE109-13,forcens_lgm,,42.572,-9.69,700,1151,0,0,1300,1,419,0
Q200,forcens_lgm,0.59,-45.995,172.025,253,23,0,0,2,0,0,0
Q585,forcens_lgm,0.73,-49.70333333,-177.99,326,15,0,0,3,0,0,0
R657 (S),forcens_lgm,0.5,-42.53333333,-178.4916667,180,111,0,0,158,0,2,0
R657 (W),forcens_lgm,0.5,-42.53333333,-178.4916667,136,80,0,0,98,0,1,0
RC08-018,forcens_lgm,20,-24.067,-15.117,33,14,0,43,93,0,213,0
RC08-039,forcens_lgm,0.7,-42.88333333,42.35,261,29,0,0,10,0,0,0
