Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Symbiosis,Spine,Absolute Abundance
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-barren,spinose,13
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-bearing,non-spinose,0
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-bearing,spinose,18
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-facultative,non-spinose,116
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-facultative,spinose,0
A167-14,,31.467,-76.467,2635,North Atlantic,100,symbiont-obligate,spinose,127
A167-14,,31.467,-76.467,2635,North Atlantic,100,undetermined,non-spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-barren,non-spinose,26
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-barren,spinose,11
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-bearing,non-spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-bearing,spinose,15
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-facultative,non-spinose,99
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-facultative,spinose,0
A172-01,,17.233,-73.467,4150,North Atlantic,40,symbiont-obligate,spinose,326
A172-01,,17.233,-73.467,4150,North Atlantic,40,undetermined,non-spinose,0
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-barren,non-spinose,18
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-barren,spinose,9
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-bearing,non-spinose,0
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-bearing,spinose,26
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-facultative,non-spinose,124
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-facultative,spinose,1
A172-02,,16.2,-72.317,3070,North Atlantic,60,symbiont-obligate,spinose,247
A172-02,,16.2,-72.317,3070,North Atlantic,60,undetermined,non-spinose,0
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-barren,non-spinose,80
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-barren,spinose,16
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-bearing,non-spinose,0
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-bearing,spinose,1
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-facultative,non-spinose,192
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-facultative,spinose,0
A173-04,,33.867,-62.533,3932,North Atlantic,72,symbiont-obligate,spinose,50
A173-04,,33.867,-62.533,3932,North Atlantic,72,undetermined,non-spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-barren,non-spinose,22
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-barren,spinose,3
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-bearing,non-spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-bearing,spinose,66
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-facultative,non-spinose,65
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-facultative,spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,149,symbiont-obligate,spinose,274
A179-15,,24.8,-75.933,3110,North Atlantic,149,undetermined,non-spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-barren,non-spinose,34
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-barren,spinose,3
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-bearing,non-spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-bearing,spinose,83
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-facultative,non-spinose,116
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-facultative,spinose,0
A179-15,,24.8,-75.933,3110,North Atlantic,162,symbiont-obligate,spinose,426
A179-15,,24.8,-75.933,3110,North Atlantic,162,undetermined,non-spinose,0
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-barren,non-spinose,209
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-barren,spinose,63
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-bearing,non-spinose,0
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-bearing,spinose,0
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-facultative,non-spinose,100
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-facultative,spinose,0
A180-09,,39.45,-45.95,4060,North Atlantic,60,symbiont-obligate,spinose,20
A180-09,,39.45,-45.95,4060,North Atlantic,60,undetermined,non-spinose,0
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-barren,non-spinose,240
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-barren,spinose,69
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-bearing,non-spinose,0
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-bearing,spinose,2
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-facultative,non-spinose,270
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-facultative,spinose,0
A180-15,,39.267,-36.7,4610,North Atlantic,60,symbiont-obligate,spinose,86
A180-15,,39.267,-36.7,4610,North Atlantic,60,undetermined,non-spinose,0
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-barren,non-spinose,96
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-barren,spinose,88
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-bearing,non-spinose,0
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-bearing,spinose,4
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-facultative,non-spinose,100
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-facultative,spinose,0
A180-16,,38.35,-32.483,2270,North Atlantic,70,symbiont-obligate,spinose,31
A180-16,,38.35,-32.483,2270,North Atlantic,70,undetermined,non-spinose,0
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-barren,non-spinose,67
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-barren,spinose,8
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-bearing,non-spinose,0
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-bearing,spinose,8
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-facultative,non-spinose,80
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-facultative,spinose,0
A180-32,,29.117,-26.25,5030,North Atlantic,60,symbiont-obligate,spinose,175
A180-32,,29.117,-26.25,5030,North Atlantic,60,undetermined,non-spinose,0
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-barren,non-spinose,205
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-barren,spinose,90
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-bearing,non-spinose,0
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-bearing,spinose,2
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-facultative,non-spinose,74
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-facultative,spinose,0
A180-39,,25.833,-19.3,3470,North Atlantic,30,symbiont-obligate,spinose,89
A180-39,,25.833,-19.3,3470,North Atlantic,30,undetermined,non-spinose,0
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-barren,non-spinose,17
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-barren,spinose,226
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-bearing,non-spinose,0
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-bearing,spinose,13
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-facultative,non-spinose,69
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-facultative,spinose,0
A180-47,,15.318,-17.918,2195,North Atlantic,350,symbiont-obligate,spinose,68
A180-47,,15.318,-17.918,2195,North Atlantic,350,undetermined,non-spinose,0
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-barren,non-spinose,11
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-barren,spinose,108
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-bearing,non-spinose,0
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-bearing,spinose,6
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-facultative,non-spinose,69
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-facultative,spinose,0
A180-48,,15.317,-18.1,1450,North Atlantic,529,symbiont-obligate,spinose,162
A180-48,,15.317,-18.1,1450,North Atlantic,529,undetermined,non-spinose,0
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-barren,non-spinose,73
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-barren,spinose,203
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-bearing,non-spinose,0
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-bearing,spinose,7
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-facultative,non-spinose,53
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-facultative,spinose,0
A180-56,,12.235,-17.767,2595,North Atlantic,100,symbiont-obligate,spinose,120
A180-56,,12.235,-17.767,2595,North Atlantic,100,undetermined,non-spinose,0
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-barren,non-spinose,143
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-barren,spinose,10
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-bearing,non-spinose,0
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-bearing,spinose,1
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-facultative,non-spinose,161
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-facultative,spinose,0
A180-72,,0.585,-21.783,3840,North Atlantic,46,symbiont-obligate,spinose,45
A180-72,,0.585,-21.783,3840,North Atlantic,46,undetermined,non-spinose,0
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-barren,non-spinose,213
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-barren,spinose,8
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-bearing,non-spinose,0
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-bearing,spinose,11
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-facultative,non-spinose,309
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-facultative,spinose,0
A180-73,,0.167,-23,3750,North Atlantic,60,symbiont-obligate,spinose,179
A180-73,,0.167,-23,3750,North Atlantic,60,undetermined,non-spinose,0
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-barren,non-spinose,136
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-barren,spinose,19
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-bearing,non-spinose,0
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-bearing,spinose,1
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-facultative,non-spinose,116
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-facultative,spinose,0
A180-74,,-0.05,-24.167,3330,South Atlantic,50,symbiont-obligate,spinose,79
A180-74,,-0.05,-24.167,3330,South Atlantic,50,undetermined,non-spinose,0
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-barren,non-spinose,62
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-barren,spinose,2
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-bearing,non-spinose,0
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-bearing,spinose,1
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-facultative,non-spinose,117
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-facultative,spinose,1
A180-76,,-0.767,-26.033,2840,South Atlantic,60,symbiont-obligate,spinose,63
A180-76,,-0.767,-26.033,2840,South Atlantic,60,undetermined,non-spinose,0
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-barren,non-spinose,1626
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-barren,spinose,918
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-bearing,non-spinose,0
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-bearing,spinose,0
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-facultative,non-spinose,337
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-facultative,spinose,0
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,symbiont-obligate,spinose,212
AII 125-8 JPC 20,,26.03816667,-110.9301667,845,Pacific,,undetermined,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-barren,non-spinose,102
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-barren,spinose,461
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-bearing,non-spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-bearing,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-facultative,non-spinose,74
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-facultative,spinose,0
BC15,Piston,41.95,5.93,2500,Mediterranean,,symbiont-obligate,spinose,4
BC15,Piston,41.95,5.93,2500,Mediterranean,,undetermined,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-barren,non-spinose,2144
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-barren,spinose,1517
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-bearing,non-spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-bearing,spinose,13
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-facultative,non-spinose,1548
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-facultative,spinose,0
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,symbiont-obligate,spinose,1146
BS79-22,Gravity,38.231,14.23,1449,Mediterranean,,undetermined,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-barren,non-spinose,1461
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-barren,spinose,1296
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-bearing,non-spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-bearing,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-facultative,non-spinose,834
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-facultative,spinose,0
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,symbiont-obligate,spinose,785
BS79-33,Gravity,38.157,14.018,1282,Mediterranean,,undetermined,non-spinose,0
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-barren,non-spinose,427
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-barren,spinose,408
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-bearing,non-spinose,0
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-bearing,spinose,2
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-facultative,non-spinose,332
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-facultative,spinose,0
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,symbiont-obligate,spinose,113
BS79-37,Gravity,38.215,13.269,1458,Mediterranean,,undetermined,non-spinose,0
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-barren,non-spinose,1495
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-barren,spinose,2509
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-bearing,non-spinose,0
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-bearing,spinose,8
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-facultative,non-spinose,1770
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-facultative,spinose,0
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,symbiont-obligate,spinose,793
BS79-38,Gravity,38.247,13.346,1489,Mediterranean,,undetermined,non-spinose,0
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-barren,non-spinose,147
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-barren,spinose,216
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-bearing,non-spinose,0
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-bearing,spinose,0
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-facultative,non-spinose,81
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-facultative,spinose,0
DED8707,Piston,39.41,13.34,2970,Mediterranean,,symbiont-obligate,spinose,52
DED8707,Piston,39.41,13.34,2970,Mediterranean,,undetermined,non-spinose,0
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-barren,non-spinose,510
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-barren,spinose,7
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-bearing,non-spinose,0
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-bearing,spinose,0
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-facultative,non-spinose,17
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-facultative,spinose,0
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,symbiont-obligate,spinose,0
DSDP site 594,,-45.5235,174.948,1204,Pacific,2.52,undetermined,non-spinose,0
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-barren,non-spinose,299
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-barren,spinose,200
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-bearing,non-spinose,2
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-bearing,spinose,0
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-facultative,non-spinose,439
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-facultative,spinose,0
E-34,,19.26883333,-94.5115,1280,North Atlantic,,symbiont-obligate,spinose,1603
E-34,,19.26883333,-94.5115,1280,North Atlantic,,undetermined,non-spinose,0
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-barren,non-spinose,177
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-barren,spinose,72
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-bearing,non-spinose,5
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-bearing,spinose,4
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-facultative,non-spinose,318
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-facultative,spinose,0
E-35,,19.16266667,-94.535,1182,North Atlantic,,symbiont-obligate,spinose,1296
