Core,CoringDevice,Latitude,Longitude,WaterDepth_m,Ocean,SampleLabel,SampleDepthTop_m,SampleDepthBottom_m,SampleDepthMid_m,CalendarAge_cal_ky_BP,ChronozoneLevel,SedimentationRate_cm_ky,Laboratory,Publication,ChronologySource,AddedBy,DateOfAddition,Source,TaxonomicNotes,Count,QCNote,Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_truncatulinoides,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_menardii_Globorotalia_tumida,Globigerinoides_ruber_Globigerinoides_white,Turborotalita_humilis_Berggrenia_pumilio,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Turborotalita_quinqueloba_dextral_coiling,Turborotalita_quinqueloba_sinistral_coiling,unidentified,siteID,sampleID,isCounts,inMARGO
PS2876-1,NA,81.759,-9.4355,1976,North Atlantic,NA,0.83,NA,NA,NA,1,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,3.6,96.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0004,LGM_0004_4,FALSE,TRUE
PS2138-1,NA,81.535,30.5933,862,North Atlantic,NA,1.72,NA,NA,NA,1,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0.3,0,0,0,0,0,0,2.8,96.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0005,LGM_0005_1,FALSE,TRUE
PS2138-1,NA,81.535,30.5933,862,North Atlantic,NA,1.92,NA,NA,NA,1,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,3.4,96.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,LGM_0005,LGM_0005_2,FALSE,TRUE
PS2138-1,NA,81.535,30.5933,862,North Atlantic,NA,2.13,NA,NA,NA,1,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,1.4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,LGM_0005,LGM_0005_3,FALSE,TRUE
PS2138-1,NA,81.535,30.5933,862,North Atlantic,NA,2.23,NA,NA,NA,1,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,1.3,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0005,LGM_0005_4,FALSE,TRUE
PS2129-1,NA,81.3667,17.4717,861,North Atlantic,NA,0.3,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.1,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0006,LGM_0006_1,FALSE,TRUE
PS2129-1,NA,81.3667,17.4717,861,North Atlantic,NA,0.4,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.3,96.9,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0006,LGM_0006_2,FALSE,TRUE
PS2837-5,NA,81.2333,2.3817,1023,North Atlantic,NA,3.89,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,1.8,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0007,LGM_0007_1,FALSE,TRUE
PS2837-5,NA,81.2333,2.3817,1023,North Atlantic,NA,3.95,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.4,97.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0007,LGM_0007_2,FALSE,TRUE
PS2837-5,NA,81.2333,2.3817,1023,North Atlantic,NA,3.97,NA,NA,NA,2,NA,Kiel,10.1029/2002PA000774,NA,Mara Weinelt,20/05/2003,https://doi.pangaea.de/10.1594/PANGAEA.227329,"merged menardii and menardii flexuosa, ignored crassula as zero counts",NA,chronozone level from SI of MARGO 2009 Nature Geosciences,0,0,0,0,0,0,0,0,0,0,0,0,2.2,97.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LGM_0007,LGM_0007_3,FALSE,TRUE
